symbol,date
A101400,2022-05-30
A016880,2022-05-30
A090710,2022-05-30
A006880,2022-05-30
A261780,2022-05-30
A006620,2022-05-30
A109820,2022-05-30
A061250,2022-05-30
A307750,2022-05-30
A173130,2022-05-30
A008700,2022-05-30
A340440,2022-05-30
A012340,2022-05-30
A056700,2022-05-30
A052900,2022-05-30
A015860,2022-05-30
A035810,2022-05-30
A208710,2022-05-30
A017040,2022-05-30
A089530,2022-05-30
A027740,2022-05-30
A353810,2022-05-30
A001440,2022-05-30
A008040,2022-05-30
A038060,2022-05-30
A001790,2022-05-30
A038110,2022-05-30
A011320,2022-05-30
A005110,2022-05-30
A059210,2022-05-30
A010690,2022-05-30
A086980,2022-05-30
A027710,2022-05-30
A396300,2022-05-30
A021080,2022-05-30
A208640,2022-05-30
A007460,2022-05-30
A222980,2022-05-30
A003310,2022-05-30
A002900,2022-05-30
A098660,2022-05-30
A319400,2022-05-30
A306620,2022-05-30
A005860,2022-05-30
A389260,2022-05-30
A214610,2022-05-27
A142280,2022-05-27
A099220,2022-05-27
A002360,2022-05-27
A007460,2022-05-27
A032820,2022-05-27
A048770,2022-05-27
A017040,2022-05-27
A099440,2022-05-27
A001440,2022-05-27
A027710,2022-05-27
A005860,2022-05-27
A002140,2022-05-27
A005880,2022-05-27
A073560,2022-05-27
A074430,2022-05-27
A101400,2022-05-27
A027740,2022-05-27
A006880,2022-05-27
A003310,2022-05-27
A136480,2022-05-27
A002900,2022-05-27
A025880,2022-05-27
A900340,2022-05-27
A033250,2022-05-27
A076080,2022-05-27
A218150,2022-05-27
A332290,2022-05-27
A037350,2022-05-27
A044960,2022-05-27
A208640,2022-05-27
A024740,2022-05-27
A307750,2022-05-27
A222080,2022-05-27
A319400,2022-05-27
A368770,2022-05-27
A138070,2022-05-27
A208140,2022-05-27
A090710,2022-05-27
A086060,2022-05-27
A043200,2022-05-27
A092220,2022-05-27
A306620,2022-05-27
A086060,2022-05-26
A095910,2022-05-26
A011930,2022-05-26
A001790,2022-05-26
A016880,2022-05-26
A104040,2022-05-26
A214610,2022-05-26
A001250,2022-05-26
A050760,2022-05-26
A001140,2022-05-26
A013360,2022-05-26
A281740,2022-05-26
A267320,2022-05-26
A053270,2022-05-26
A099220,2022-05-26
A017000,2022-05-26
A020120,2022-05-26
A124560,2022-05-26
A104540,2022-05-26
A060240,2022-05-26
A033830,2022-05-26
A036180,2022-05-26
A389260,2022-05-26
A009830,2022-05-26
A020180,2022-05-26
A011700,2022-05-26
A009520,2022-05-26
A142280,2022-05-26
A079190,2022-05-26
A173130,2022-05-26
A208710,2022-05-26
A002360,2022-05-26
A207760,2022-05-26
A317240,2022-05-26
A115500,2022-05-26
A306620,2022-05-26
A066410,2022-05-26
A208640,2022-05-26
A377030,2022-05-26
A217600,2022-05-26
A027710,2022-05-18
A002680,2022-05-18
A037560,2022-05-18
A008040,2022-05-18
A017550,2022-05-17
A303030,2022-05-17
A161570,2022-05-17
A093370,2022-05-17
A205470,2022-05-17
A073110,2022-05-17
A014200,2022-05-17
A270520,2022-05-17
A227610,2022-05-17
A012690,2022-05-17
A071090,2022-05-17
A121850,2022-05-17
A014580,2022-05-17
A060310,2022-05-17
A083930,2022-05-17
A365590,2022-05-17
A011000,2022-05-17
A024120,2022-05-17
A053270,2022-05-17
A117580,2022-05-17
A053050,2022-05-17
A128820,2022-05-17
A019550,2022-05-17
A002680,2022-05-17
A017040,2022-05-17
A128540,2022-05-17
A037560,2022-05-17
A002900,2022-05-17
A306620,2022-05-17
A027740,2022-05-16
A074430,2022-05-16
A222810,2022-05-16
A018470,2022-05-16
A003310,2022-05-16
A012860,2022-05-16
A034940,2022-05-16
A001440,2022-05-16
